Country,Continent,Country,Date,Total_Cases,New_Cases,range
IND,Asia,India,30-01-2020,1,1,<10000
IND,Asia,India,31-01-2020,1,0,<10000
IND,Asia,India,01-02-2020,1,0,<10000
IND,Asia,India,02-02-2020,2,1,<10000
IND,Asia,India,03-02-2020,2,0,<10000
IND,Asia,India,04-02-2020,3,1,<10000
IND,Asia,India,05-02-2020,3,0,<10000
IND,Asia,India,06-02-2020,3,0,<10000
IND,Asia,India,07-02-2020,3,0,<10000
IND,Asia,India,08-02-2020,3,0,<10000
IND,Asia,India,09-02-2020,3,0,<10000
IND,Asia,India,10-02-2020,3,0,<10000
IND,Asia,India,11-02-2020,3,0,<10000
IND,Asia,India,12-02-2020,3,0,<10000
IND,Asia,India,13-02-2020,3,0,<10000
IND,Asia,India,14-02-2020,3,0,<10000
IND,Asia,India,15-02-2020,3,0,<10000
IND,Asia,India,16-02-2020,3,0,<10000
IND,Asia,India,17-02-2020,3,0,<10000
IND,Asia,India,18-02-2020,3,0,<10000
IND,Asia,India,19-02-2020,3,0,<10000
IND,Asia,India,20-02-2020,3,0,<10000
IND,Asia,India,21-02-2020,3,0,<10000
IND,Asia,India,22-02-2020,3,0,<10000
IND,Asia,India,23-02-2020,3,0,<10000
IND,Asia,India,24-02-2020,3,0,<10000
IND,Asia,India,25-02-2020,3,0,<10000
IND,Asia,India,26-02-2020,3,0,<10000
IND,Asia,India,27-02-2020,3,0,<10000
IND,Asia,India,28-02-2020,3,0,<10000
IND,Asia,India,29-02-2020,3,0,<10000
IND,Asia,India,01-03-2020,3,0,<10000
IND,Asia,India,02-03-2020,3,0,<10000
IND,Asia,India,03-03-2020,5,2,<10000
IND,Asia,India,04-03-2020,6,1,<10000
IND,Asia,India,05-03-2020,28,22,<10000
IND,Asia,India,06-03-2020,29,1,<10000
IND,Asia,India,07-03-2020,31,2,<10000
IND,Asia,India,08-03-2020,34,3,<10000
IND,Asia,India,09-03-2020,,,<10000
IND,Asia,India,10-03-2020,44,10,<10000
IND,Asia,India,11-03-2020,50,6,<10000
IND,Asia,India,12-03-2020,73,23,<10000
IND,Asia,India,13-03-2020,75,2,<10000
IND,Asia,India,14-03-2020,83,8,<10000
IND,Asia,India,15-03-2020,90,7,<10000
IND,Asia,India,16-03-2020,93,3,<10000
IND,Asia,India,17-03-2020,125,32,<10000
IND,Asia,India,18-03-2020,137,12,<10000
IND,Asia,India,19-03-2020,165,28,<10000
IND,Asia,India,20-03-2020,191,26,<10000
IND,Asia,India,21-03-2020,231,40,<10000
IND,Asia,India,22-03-2020,320,89,<10000
IND,Asia,India,23-03-2020,439,119,<10000
IND,Asia,India,24-03-2020,492,53,<10000
IND,Asia,India,25-03-2020,562,70,<10000
IND,Asia,India,26-03-2020,649,87,<10000
IND,Asia,India,27-03-2020,724,75,<10000
IND,Asia,India,28-03-2020,873,149,<10000
IND,Asia,India,29-03-2020,979,106,<10000
IND,Asia,India,30-03-2020,1071,92,<10000
IND,Asia,India,31-03-2020,1251,180,<10000
IND,Asia,India,01-04-2020,1397,146,<10000
IND,Asia,India,02-04-2020,1965,568,<10000
IND,Asia,India,03-04-2020,2301,336,<10000
IND,Asia,India,04-04-2020,2902,601,<10000
IND,Asia,India,05-04-2020,3374,472,<10000
IND,Asia,India,06-04-2020,4067,693,<10000
IND,Asia,India,07-04-2020,4421,354,<10000
IND,Asia,India,08-04-2020,5194,773,<10000
IND,Asia,India,09-04-2020,5734,540,<10000
IND,Asia,India,10-04-2020,6412,678,<10000
IND,Asia,India,11-04-2020,7447,1035,<10000
IND,Asia,India,12-04-2020,8356,909,<10000
